Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	Pres_Z [dbar]	QV:SEADATANET	Atten_red [/m]	QV:SEADATANET	Atten_red2 [/m]	QV:SEADATANET	chl-a_water_ISfluor [mg/m^3]	QV:SEADATANET	WC_dissO2 [umol/l]	QV:SEADATANET	AqVolt [V]	QV:SEADATANET	STNephV [V]	QV:SEADATANET	BKBeck [%]	QV:SEADATANET	PotAtten [/m]	QV:SEADATANET	WC_Potemp [degC]	QV:SEADATANET	P_sal_CTD [Dmnless]	QV:SEADATANET	SigTheta [kg/m^3]	QV:SEADATANET	WC_temp_CTD [degC]	QV:SEADATANET
									  227.00	1	  0.355	1	  0.366	1	  0.08	1	247.9	1	 0.1416	1	  0.0272	1	 93.37	1	 0.3544	1	12.613	1	35.721	1	27.030	1	12.644	1
									  229.00	1	  0.354	1	  0.366	1	  0.13	1	248.4	1	 0.4412	1	  0.0273	1	 93.52	1	 0.3541	1	12.584	1	35.717	1	27.033	1	12.615	1
									  231.00	1	  0.354	1	  0.365	1	  0.08	1	248.4	1	 0.1424	1	  0.0290	1	 93.43	1	 0.3539	1	12.538	1	35.712	1	27.038	1	12.569	1
									  233.00	1	  0.354	1	  0.365	1	  0.16	1	248.3	1	 0.5360	1	  0.0269	1	 93.36	1	 0.3540	1	12.518	1	35.711	1	27.041	1	12.550	1
									  235.00	1	  0.354	1	  0.365	1	  0.26	1	248.4	1	 0.8009	1	  0.0269	1	 93.31	1	 0.3537	1	12.479	1	35.705	1	27.044	1	12.510	1
									  237.00	1	  0.353	1	  0.365	1	  0.26	1	249.0	1	 0.8009	1	  0.0270	1	 93.48	1	 0.3531	1	12.461	1	35.704	1	27.047	1	12.493	1
									  239.00	1	  0.354	1	  0.365	1	  0.13	1	248.6	1	 0.4169	1	  0.0272	1	 93.33	1	 0.3541	1	12.451	1	35.703	1	27.048	1	12.483	1
									  241.00	1	  0.355	1	  0.364	1	  0.09	1	248.5	1	 0.2039	1	  0.0269	1	 93.28	1	 0.3544	1	12.444	1	35.704	1	27.050	1	12.477	1
									  243.00	1	  0.353	1	  0.364	1	  0.12	1	248.5	1	 0.3746	1	  0.0283	1	 93.24	1	 0.3529	1	12.432	1	35.702	1	27.051	1	12.465	1
									  245.00	1	  0.353	1	  0.364	1	  0.06	1	248.2	1	-0.0125	1	  0.0267	1	 93.09	1	 0.3522	1	12.416	1	35.700	1	27.052	1	12.449	1
									  247.00	1	  0.353	1	  0.364	1	  0.17	1	247.9	1	 0.4708	1	  0.0259	1	 92.91	1	 0.3522	1	12.381	1	35.692	1	27.053	1	12.414	1
									  249.00	1	  0.352	1	  0.364	1	  0.34	1	247.8	1	 1.0049	1	  0.0270	1	 92.79	1	 0.3520	1	12.338	1	35.690	1	27.060	1	12.371	1
									  251.00	1	  0.353	1	  0.364	1	  0.18	1	248.0	1	 0.6316	1	  0.0269	1	 92.84	1	 0.3523	1	12.326	1	35.689	1	27.061	1	12.359	1
									  253.00	1	  0.353	1	  0.364	1	  0.27	1	248.3	1	 0.8488	1	  0.0269	1	 92.94	1	 0.3524	1	12.307	1	35.685	1	27.062	1	12.341	1
									  255.00	1	  0.352	1	  0.364	1	  0.15	1	248.1	1	 0.4986	1	  0.0269	1	 92.83	1	 0.3520	1	12.302	1	35.687	1	27.065	1	12.336	1
									  257.00	1	  0.353	1	  0.364	1	  0.17	1	248.3	1	 0.5854	1	  0.0259	1	 92.92	1	 0.3522	1	12.298	1	35.686	1	27.065	1	12.332	1
									  259.00	1	  0.353	1	  0.364	1	  0.12	1	248.0	1	 0.3133	1	  0.0253	1	 92.75	1	 0.3522	1	12.279	1	35.682	1	27.066	1	12.313	1
